Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Temp,
2024-12-11,14:01:09.754930,1733922069.75493,s,5e-06,s,20.0,°C
2024-12-11,14:01:39.755661,1733922099.755661,s,30.000736,s,20.0,°C
2024-12-11,14:02:09.755700,1733922129.7557,s,60.000775,s,20.0,°C
2024-12-11,14:02:39.757152,1733922159.757152,s,90.002227,s,20.0,°C
2024-12-11,14:03:09.756895,1733922189.756895,s,120.00197,s,21.0,°C
2024-12-11,14:03:39.758120,1733922219.75812,s,150.003195,s,21.0,°C
2024-12-11,14:04:09.758129,1733922249.758129,s,180.003204,s,21.0,°C
2024-12-11,14:04:39.759387,1733922279.759387,s,210.004462,s,22.0,°C
2024-12-11,14:05:09.759100,1733922309.7591,s,240.004175,s,23.0,°C
2024-12-11,14:05:39.760435,1733922339.760435,s,270.00551,s,23.0,°C
2024-12-11,14:06:09.760096,1733922369.760096,s,300.005171,s,24.0,°C
2024-12-11,14:06:39.761398,1733922399.761398,s,330.006473,s,24.0,°C
2024-12-11,14:07:09.761128,1733922429.761128,s,360.006203,s,25.0,°C
2024-12-11,14:07:39.762805,1733922459.762805,s,390.00788,s,27.0,°C
2024-12-11,14:08:09.762044,1733922489.762044,s,420.007119,s,27.0,°C
2024-12-11,14:08:39.763790,1733922519.76379,s,450.008865,s,28.0,°C
2024-12-11,14:09:09.763042,1733922549.763042,s,480.008117,s,28.0,°C
2024-12-11,14:09:39.765083,1733922579.765083,s,510.010158,s,29.0,°C
2024-12-11,14:10:09.764049,1733922609.764049,s,540.009124,s,29.0,°C
2024-12-11,14:10:39.766165,1733922639.766165,s,570.01124,s,30.0,°C
2024-12-11,14:11:09.764971,1733922669.764971,s,600.010046,s,30.0,°C
2024-12-11,14:11:39.766638,1733922699.766638,s,630.011713,s,30.0,°C
2024-12-11,14:12:09.766110,1733922729.76611,s,660.011185,s,31.0,°C
2024-12-11,14:12:39.767805,1733922759.767805,s,690.01288,s,30.0,°C
2024-12-11,14:13:09.767246,1733922789.767246,s,720.012321,s,32.0,°C
2024-12-11,14:13:39.768638,1733922819.768638,s,750.013713,s,32.0,°C
2024-12-11,14:14:09.768586,1733922849.768586,s,780.013661,s,32.0,°C
2024-12-11,14:14:39.769567,1733922879.769567,s,810.014642,s,33.0,°C
2024-12-11,14:15:09.770116,1733922909.770116,s,840.015191,s,33.0,°C
2024-12-11,14:15:39.770284,1733922939.770284,s,870.015359,s,33.0,°C
2024-12-11,14:16:09.771051,1733922969.771051,s,900.016126,s,33.0,°C
2024-12-11,14:16:39.771127,1733922999.771127,s,930.016202,s,32.0,°C
